subcategory_name,subcategory_series,category_name,code,columns,sequence_padding
Varnish,1,Magnetics - Chemicals,1451,category:varchar;part_type:varchar;description:varchar,4
Planner Core,5,Magnetics - Cores,1415,category:varchar;part_type:varchar;description:varchar,4
Rod Core,4,Magnetics - Cores,1414,category:varchar;part_type:varchar;description:varchar,4
Steel Core,3,Magnetics - Cores,1413,category:varchar;part_type:varchar;description:varchar,4
Torroidal Core,1,Magnetics - Cores,1411,category:varchar;part_type:varchar;description:varchar,4
Transformer Core,2,Magnetics - Cores,1412,category:varchar;part_type:varchar;description:varchar,4
Bunch Wire,2,Magnetics - Wires,1402,category:varchar;part_type:varchar;description:varchar,4
Foil,5,Magnetics - Wires,1405,category:varchar;part_type:varchar;description:varchar,4
Litz Wire,3,Magnetics - Wires,1403,category:varchar;part_type:varchar;description:varchar,4
Other,7,Magnetics - Wires,1407,category:varchar;part_type:varchar;description:varchar,4
Teflon Insulated  wire,4,Magnetics - Wires,1404,category:varchar;part_type:varchar;description:varchar,4
UEW,1,Magnetics - Wires,1401,category:varchar;part_type:varchar;description:varchar,4
Bakelite Base,3,Magnetics Base,1463,category:varchar;part_type:varchar;description:varchar,4
FR4 Base,1,Magnetics Base,1461,category:varchar;part_type:varchar;description:varchar,4
Plastic Base,2,Magnetics Base,1462,category:varchar;part_type:varchar;description:varchar,4
BSO,1,Mechanical,1861,category:varchar;part_type:varchar;description:varchar;size:varchar;material:varchar;length:varchar;mounting_style:varchar;inner_dia:varchar;outer_dia:varchar;load_capacity:varchar;colour:varchar;panel_thickness:varchar;company_part_status:varchar,4
Clinch Nut,2,Mechanical,1862,category:varchar;part_type:varchar;description:varchar;size:varchar;material:varchar;length:varchar;mounting_style:varchar;inner_dia:varchar;outer_dia:varchar;load_capacity:varchar;colour:varchar;panel_thickness:varchar;company_part_status:varchar,4
Grommet,4,Mechanical,1864,category:varchar;part_type:varchar;description:varchar;size:varchar;material:varchar;length:varchar;mounting_style:varchar;inner_dia:varchar;outer_dia:varchar;load_capacity:varchar;colour:varchar;panel_thickness:varchar;company_part_status:varchar,4
Handle,3,Mechanical,1863,category:varchar;part_type:varchar;description:varchar;size:varchar;material:varchar;length:varchar;mounting_style:varchar;inner_dia:varchar;outer_dia:varchar;load_capacity:varchar;colour:varchar;panel_thickness:varchar;company_part_status:varchar,4
Housing,0,Mechanical,1940,category:varchar;part_type:varchar;description:varchar;size:varchar;material:varchar;length:varchar;mounting_style:varchar;inner_dia:varchar;outer_dia:varchar;load_capacity:varchar;colour:varchar;panel_thickness:varchar;company_part_status:varchar,4
Rivet,5,Mechanical,1865,category:varchar;part_type:varchar;description:varchar;size:varchar;material:varchar;length:varchar;mounting_style:varchar;inner_dia:varchar;outer_dia:varchar;load_capacity:varchar;colour:varchar;panel_thickness:varchar;company_part_status:varchar,4
Cellular,2,Module,1122,category:varchar;part_type:varchar;description:varchar,4
Misc Other,9,Module,1129,category:varchar;part_type:varchar;description:varchar,4
RF,3,Module,1123,category:varchar;part_type:varchar;description:varchar,4
Wifi,1,Module,1121,category:varchar;part_type:varchar;description:varchar,4
Array,5,Mosfet,1055,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;rdson:varchar;drain_source_voltage:varchar;power_dissipation:varchar;drain_current:varchar;no_of_mosfets:varchar;diode_configration:varchar;vgs_threshold:varchar;gate_charge:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
GaN mosfet,4,Mosfet,1054,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;rdson:varchar;drain_source_voltage:varchar;power_dissipation:varchar;drain_current:varchar;no_of_mosfets:varchar;diode_configration:varchar;vgs_threshold:varchar;gate_charge:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Misc Other,9,Mosfet,1059,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;rdson:varchar;drain_source_voltage:varchar;power_dissipation:varchar;drain_current:varchar;no_of_mosfets:varchar;diode_configration:varchar;vgs_threshold:varchar;gate_charge:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
NMOS,2,Mosfet,1052,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;rdson:varchar;drain_source_voltage:varchar;power_dissipation:varchar;drain_current:varchar;no_of_mosfets:varchar;diode_configration:varchar;vgs_threshold:varchar;gate_charge:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
PMOS,1,Mosfet,1051,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;rdson:varchar;drain_source_voltage:varchar;power_dissipation:varchar;drain_current:varchar;no_of_mosfets:varchar;diode_configration:varchar;vgs_threshold:varchar;gate_charge:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
SiC Mosfet,3,Mosfet,1053,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;rdson:varchar;drain_source_voltage:varchar;power_dissipation:varchar;drain_current:varchar;no_of_mosfets:varchar;diode_configration:varchar;vgs_threshold:varchar;gate_charge:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Fiducial,2,Non BOM,1002,category:varchar;part_type:varchar;pad_dia:varchar;drill_dia:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar,4
Misc Other,9,Non BOM,1009,category:varchar;part_type:varchar;pad_dia:varchar;drill_dia:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar,4
Mounting Hole,3,Non BOM,1003,category:varchar;part_type:varchar;pad_dia:varchar;drill_dia:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar,4
Solder Pad SMT,4,Non BOM,1004,category:varchar;part_type:varchar;pad_dia:varchar;drill_dia:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar,4
Solder Pad Throughole,5,Non BOM,1005,category:varchar;part_type:varchar;pad_dia:varchar;drill_dia:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar,4
Test Point,1,Non BOM,1001,category:varchar;part_type:varchar;pad_dia:varchar;drill_dia:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar,4
Bubble Sheet,7,Packing,1657,category:varchar;part_type:varchar;description:varchar,4
Corrugated packing  Part,2,Packing,1652,category:varchar;part_type:varchar;description:varchar,4
Foam packing part,3,Packing,1653,category:varchar;part_type:varchar;description:varchar,4
Manuals,2,Packing,1662,category:varchar;part_type:varchar;description:varchar,4
Plastic Packing,4,Packing,1654,category:varchar;part_type:varchar;description:varchar,4
Plastic Pallet,0,Packing,1660,category:varchar;part_type:varchar;description:varchar,4
Polywrap,6,Packing,1656,category:varchar;part_type:varchar;description:varchar,4
Strap,8,Packing,1658,category:varchar;part_type:varchar;description:varchar,4
Tapes,1,Packing,1661,category:varchar;part_type:varchar;description:varchar,4
Thermo forming packing part,5,Packing,1655,category:varchar;part_type:varchar;description:varchar,4
Wooden Packing,1,Packing,1651,category:varchar;part_type:varchar;description:varchar,4
wooden Pallet,9,Packing,1659,category:varchar;part_type:varchar;description:varchar,4
Panel mount Emergency switch,3,Panel Mount Hardware,1563,category:varchar;part_type:varchar;description:varchar,4
Panel Mount Fuse,5,Panel Mount Hardware,1565,category:varchar;part_type:varchar;description:varchar,4
Panel Mount Indicator,1,Panel Mount Hardware,1561,category:varchar;part_type:varchar;description:varchar,4
Panel Mount Lock,6,Panel Mount Hardware,1566,category:varchar;part_type:varchar;description:varchar,4
Panel Mount Rocker Switch,4,Panel Mount Hardware,1564,category:varchar;part_type:varchar;description:varchar,4
Panel Mount Switch Push to on off,2,Panel Mount Hardware,1562,category:varchar;part_type:varchar;description:varchar,4
Integrated Power,2,Power IC,1082,category:varchar;part_type:varchar;description:varchar,4
LDO,3,Power IC,1083,category:varchar;part_type:varchar;description:varchar,4
Misc Power Controller,9,Power IC,1089,category:varchar;part_type:varchar;description:varchar,4
Power stage Controller,5,Power IC,1085,category:varchar;part_type:varchar;description:varchar,4
PWM,1,Power IC,1081,category:varchar;part_type:varchar;description:varchar,4
Reference,4,Power IC,1084,category:varchar;part_type:varchar;description:varchar,4
Fuse,1,Protection,1111,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;clamping_voltage:varchar;package_type:varchar;package_size:varchar;package_height:varchar;power:varchar;material:varchar;ac_voltage:varchar;dc_voltage:varchar,4
Fuse Holder,2,Protection,1112,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;clamping_voltage:varchar;package_type:varchar;package_size:varchar;package_height:varchar;power:varchar;material:varchar;ac_voltage:varchar;dc_voltage:varchar,4
GDT,4,Protection,1114,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;clamping_voltage:varchar;package_type:varchar;package_size:varchar;package_height:varchar;power:varchar;material:varchar;ac_voltage:varchar;dc_voltage:varchar,4
Misc Other,9,Protection,1119,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;clamping_voltage:varchar;package_type:varchar;package_size:varchar;package_height:varchar;power:varchar;material:varchar;ac_voltage:varchar;dc_voltage:varchar,4
MOV,3,Protection,1113,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;clamping_voltage:varchar;package_type:varchar;package_size:varchar;package_height:varchar;power:varchar;material:varchar;ac_voltage:varchar;dc_voltage:varchar,4
Contactor,6,Relay,1176,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Misc Other,9,Relay,1179,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Power Relay DPDT,4,Relay,1174,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Power Relay DPST,3,Relay,1173,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Power Relay SPDT,2,Relay,1172,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Power Relay SPST,1,Relay,1171,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Signal Relay,5,Relay,1175,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;contact_type:varchar;configration:varchar;current_rating:varchar;coil_voltage:varchar;coil_power:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Current sense,6,Resistor,1016,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
MISC Other,9,Resistor,1019,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
POT,7,Resistor,1017,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
SMT 0603,1,Resistor,1011,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
SMT 0805,2,Resistor,1012,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
SMT 1206,3,Resistor,1013,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
SMT Others,4,Resistor,1014,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Thermistor,8,Resistor,1018,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Through hole,5,Resistor,1015,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;tolerance:varchar;rated_power:varchar;rated_voltage:varchar;operating_temprature1:varchar;package_height:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
CSK Screw,2,Screw,1522,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;schematic_part1:varchar;material:varchar;screw_head:varchar;screw_size:varchar;screw_length:varchar;color:varchar;finish:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Pan Head Screw,1,Screw,1521,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;schematic_part1:varchar;material:varchar;screw_head:varchar;screw_size:varchar;screw_length:varchar;color:varchar;finish:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Self Tapping Crew,3,Screw,1523,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;schematic_part1:varchar;material:varchar;screw_head:varchar;screw_size:varchar;screw_length:varchar;color:varchar;finish:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Gas Sensor,3,Sensors,1213,category:varchar;part_type:varchar;description:varchar,4
Hall Effect Sensor,4,Sensors,1214,category:varchar;part_type:varchar;description:varchar,4
Light Sensor,1,Sensors,1211,category:varchar;part_type:varchar;description:varchar,4
MEMS Sensor,2,Sensors,1212,category:varchar;part_type:varchar;description:varchar,4
Misc Sensor,9,Sensors,1219,category:varchar;part_type:varchar;description:varchar,4
Pressure sensor,5,Sensors,1215,category:varchar;part_type:varchar;description:varchar,4
Temprature sensor,6,Sensors,1216,category:varchar;part_type:varchar;description:varchar,4
misc modules,3,"Sensors,transducers,modules",1923,category:varchar;part_type:varchar;description:varchar,4
sensor module,1,"Sensors,transducers,modules",1921,category:varchar;part_type:varchar;description:varchar,4
transducer module,2,"Sensors,transducers,modules",1922,category:varchar;part_type:varchar;description:varchar,4
Metal Spacer,1,Spacers,1551,category:varchar;part_type:varchar;description:varchar,4
Plastic Spacer,2,Spacers,1552,category:varchar;part_type:varchar;description:varchar,4
Product Sticker,5,Sticker,1855,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;name:varchar;revision_no:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
PCB QC OK Sticker,1,Stickers,1851,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;name:varchar;revision_no:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
PCB Serial No barcode Label,2,Stickers,1852,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;name:varchar;revision_no:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
PCB184R2 LED Sticker,4,Stickers,1854,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;name:varchar;revision_no:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Product OK Seal,3,Stickers,1853,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;name:varchar;revision_no:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Misc Switch,9,Switch,1189,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;type:varchar;lifecycle:varchar;pitch:varchar;height:varchar;diameter:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Panel Mount Switch,5,Switch,1185,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;type:varchar;lifecycle:varchar;pitch:varchar;height:varchar;diameter:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Push to On/Off,2,Switch,1182,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;type:varchar;lifecycle:varchar;pitch:varchar;height:varchar;diameter:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Tact Switch,1,Switch,1181,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;type:varchar;lifecycle:varchar;pitch:varchar;height:varchar;diameter:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Toggle Switch,3,Switch,1183,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;type:varchar;lifecycle:varchar;pitch:varchar;height:varchar;diameter:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Touch Switch,4,Switch,1184,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;type:varchar;lifecycle:varchar;pitch:varchar;height:varchar;diameter:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
DIN Rail Terminal Block,5,Terminal blocks,1165,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Misc Other,9,Terminal blocks,1169,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Panel Mount Terminal Block,4,Terminal blocks,1164,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
PCB Clinch Nut,3,Terminal blocks,1163,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
PCB Power Terminal,2,Terminal blocks,1162,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Screw Terminal Block,1,Terminal blocks,1161,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Socket Din Rail Moult,8,Terminal blocks,1168,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Socket Panel Mount,7,Terminal blocks,1167,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Socket PCB Mount,6,Terminal blocks,1166,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;operating_temprature:varchar;package_size:varchar;package_height:varchar;pin:varchar;pitch:varchar;connector_type:varchar;current_rating:varchar;voltage_rating:varchar;mating_part:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Thermal Pad,0,Thermal Pad,1950,category:varchar;part_type:varchar;description:varchar;type:varchar;package:varchar;size:varchar;thickness:varchar;thermal_conductivity:varchar;color_appearance:varchar;adhesive_type:varchar;company_part_status:varchar;schematic_part:varchar,4
Ceramic Insulator,2,Thermals,1542,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;material:varchar;conductivity:varchar;size:varchar;thickness:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Silicon Insulator,1,Thermals,1541,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;material:varchar;conductivity:varchar;size:varchar;thickness:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Thermal Gel,4,Thermals,1544,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;material:varchar;conductivity:varchar;size:varchar;thickness:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
Thermal Paste,3,Thermals,1543,category:varchar;part_type:varchar;value:varchar;description:varchar;schematic_part:varchar;company_part_status:varchar;mounting_type:varchar;no_of_pins:varchar;material:varchar;conductivity:varchar;size:varchar;thickness:varchar;misc_1:varchar;misc_2:varchar;misc_3:varchar;remarks:varchar,4
